ID,Lat,Long,Location,Date,Year,Month,Day,Season,Time,NightDay,Type,CoyoteNumber,CoyoteYoung,HumanActivity,VulnerableIndividual,DogPresent,Hazing,CoyoteResponse,HumanPerception,Health,Classifier
17,53.60451282,-113.505528,North end of drainage lake between Pegasus Blvd and 108 St. NW,1/10/2012,2012,1,10,Breeding,9:00:00 PM,Night,Encounter,One,Unknown,Walking,Dog,Unknown,Yes,7,Unknown,Healthy,Mpruden
18,53.53064075,-113.5307407,University Ave. and 116 St.,1/25/2018,2018,1,25,Breeding,12:00:00 PM,Day,Sighting,More,Unknown,Driving,Unknown,Unknown,No,0,Unknown,Healthy,Mpruden
19,53.57123093,-113.5485077,119 avenue &amp; 132 strteet,1/17/2012,2012,1,17,Breeding,7:00:00 AM,Night,Sighting,One,Unknown,Driving,Unknown,Unknown,No,3,Unknown,Healthy,Mpruden
20,53.53302573,-113.5230374,Parking Lot of Victoria Oval,1/28/2012,2012,1,28,Breeding,12:00:00 PM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,No,3,Unknown,Unknown,Mpruden
21,53.53851,-113.539391,Groat Bridge and Saskatchewan River,1/23/2012,2012,1,23,Breeding,12:00:00 PM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,No,0,Unknown,Healthy,JFarr
22,53.51938997,-113.5383797,University ave and Sask Dr,2/6/2012,2012,2,6,Breeding,8:00:00 AM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,3,Unknown,Healthy,Mpruden
23,53.59168972,-113.4242249,54 street and 124 avenue nw.,2/27/2012,2012,2,27,Breeding,3:00:00 PM,Day,Sighting,Two,Unknown,Unknown,Unknown,Unknown,No,0,Unknown,Unhealthy,Mpruden
24,53.5039759,-113.5388947,119 Street 71 Avenue,2/25/2012,2012,2,25,Breeding,6:00:00 PM,Day,Sighting,One,Unknown,HomeYard,Unknown,Unknown,No,0,Unknown,Unknown,Mpruden
25,53.4160802,-113.5038757,555 byrne cresc,3/12/2012,2012,3,12,Breeding,6:00:00 AM,Night,Encounter,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3,Unknown,Unknown,Mpruden
26,53.51204091,-113.4877396,99th street &amp; 76 avenue,3/26/2012,2012,3,26,Breeding,1:00:00 PM,Day,Sighting,One,Unknown,Driving,Unknown,Unknown,No,Unknown,Unknown,Unknown,Mpruden
27,53.52653367,-113.5042512,Walterdale Hill and Queen Elizabeth Park,3/27/2012,2012,3,27,Breeding,12:00:00 PM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Healthy,Mpruden
28,53.606459,-113.411248,144 Ave near the train track,4/8/2012,2012,4,8,Breeding,3:00:00 PM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,JFarr
