"","var","cat","Avoidance","Indifferent","Bold","Aggressive"
"1","Land Cover","Commercial","92 (26.8%)","180 (52.5%)","53 (15.5%)","18 (5.2%)"
"2","Land Cover","Modified Open","45 (20.3%)","77 (34.7%)","54 (24.3%)","46 (20.7%)"
"3","Land Cover","Mowed","107 (22%)","209 (42.9%)","124 (25.5%)","47 (9.7%)"
"4","Land Cover","Natural","143 (28.9%)","178 (36%)","110 (22.2%)","64 (12.9%)"
"5","Land Cover","Residential","606 (30.4%)","888 (44.6%)","341 (17.1%)","158 (7.9%)"
"6","Season","Breeding","352 (28.3%)","611 (49.1%)","189 (15.2%)","93 (7.5%)"
"7","Season","Dispersal","456 (30.3%)","646 (43%)","300 (20%)","101 (6.7%)"
"8","Season","PupRearing","185 (23.4%)","275 (34.7%)","193 (24.4%)","139 (17.6%)"
"9","Time of Day","Day","490 (25.2%)","889 (45.7%)","365 (18.8%)","201 (10.3%)"
"10","Time of Day","Night","449 (33%)","544 (40%)","264 (19.4%)","103 (7.6%)"
"11","Time of Day","Unknown","54 (23%)","99 (42.1%)","53 (22.6%)","29 (12.3%)"
"12","Human Activity","Cycling","30 (52.6%)","21 (36.8%)","1 (1.8%)","5 (8.8%)"
"13","Human Activity","Driving","174 (42.2%)","228 (55.3%)","3 (0.7%)","7 (1.7%)"
"14","Human Activity","HomeYard","221 (36.7%)","257 (42.7%)","52 (8.6%)","72 (12%)"
"15","Human Activity","OutdoorAct","33 (26.4%)","49 (39.2%)","29 (23.2%)","14 (11.2%)"
"16","Human Activity","Unknown","246 (28.2%)","441 (50.6%)","99 (11.4%)","86 (9.9%)"
"17","Human Activity","Walking","289 (19.6%)","536 (36.4%)","498 (33.8%)","149 (10.1%)"
"18","Vulnerable Individual","Cat","21 (17.5%)","24 (20%)","12 (10%)","63 (52.5%)"
"19","Vulnerable Individual","Child","35 (23.3%)","77 (51.3%)","27 (18%)","11 (7.3%)"
"20","Vulnerable Individual","Dog","274 (18.6%)","494 (33.4%)","495 (33.5%)","214 (14.5%)"
"21","Vulnerable Individual","Multiple","35 (19.1%)","77 (42.1%)","45 (24.6%)","26 (14.2%)"
"22","Vulnerable Individual","Unknown","628 (39%)","860 (53.4%)","103 (6.4%)","19 (1.2%)"
"23","Dog Leash Status","Leashed","33 (15.4%)","65 (30.4%)","85 (39.7%)","31 (14.5%)"
"24","Dog Leash Status","OffLeash","38 (24.2%)","33 (21%)","35 (22.3%)","51 (32.5%)"
"25","Dog Leash Status","Unknown","882 (29.3%)","1370 (45.5%)","538 (17.9%)","219 (7.3%)"
"26","Coyote Number","More","22 (16.4%)","52 (38.8%)","37 (27.6%)","23 (17.2%)"
"27","Coyote Number","One","780 (31.6%)","1086 (43.9%)","425 (17.2%)","181 (7.3%)"
"28","Coyote Number","Three","35 (20.2%)","66 (38.2%)","51 (29.5%)","21 (12.1%)"
"29","Coyote Number","Two","124 (21.5%)","240 (41.5%)","138 (23.9%)","76 (13.1%)"
"30","Coyote Number","Unknown","32 (17.5%)","88 (48.1%)","31 (16.9%)","32 (17.5%)"
"31","Health","Unknown","710 (25.9%)","1146 (41.7%)","594 (21.6%)","296 (10.8%)"
"32","Health","Unhealthy","64 (35.4%)","85 (47%)","23 (12.7%)","9 (5%)"
"33","Health","Healthy","219 (35.7%)","301 (49.1%)","65 (10.6%)","28 (4.6%)"
