"","var","cat","Negative","Neutral","Positive"
"1","Land Cover","Commercial","66 (60%)","23 (20.9%)","21 (19.1%)"
"2","Land Cover","Modified Open","54 (68.4%)","13 (16.5%)","12 (15.2%)"
"3","Land Cover","Mowed","93 (66.9%)","35 (25.2%)","11 (7.9%)"
"4","Land Cover","Natural","80 (65%)","25 (20.3%)","18 (14.6%)"
"5","Land Cover","Residential","425 (69.8%)","99 (16.3%)","85 (14%)"
"6","Season","Breeding","260 (64%)","85 (20.9%)","61 (15%)"
"7","Season","Dispersal","303 (71.5%)","65 (15.3%)","56 (13.2%)"
"8","Season","PupRearing","155 (67.4%)","45 (19.6%)","30 (13%)"
"9","Time of Day","Day","365 (65.6%)","108 (19.4%)","83 (14.9%)"
"10","Time of Day","Night","290 (68.1%)","82 (19.2%)","54 (12.7%)"
"11","Time of Day","Unknown","63 (80.8%)","5 (6.4%)","10 (12.8%)"
"12","Human Activity","Cycling","2 (16.7%)","8 (66.7%)","2 (16.7%)"
"13","Human Activity","Driving","45 (46.4%)","21 (21.6%)","31 (32%)"
"14","Human Activity","HomeYard","214 (72.8%)","42 (14.3%)","38 (12.9%)"
"15","Human Activity","OutdoorAct","20 (76.9%)","3 (11.5%)","3 (11.5%)"
"16","Human Activity","Unknown","189 (69%)","42 (15.3%)","43 (15.7%)"
"17","Human Activity","Walking","248 (69.5%)","79 (22.1%)","30 (8.4%)"
"18","Vulnerable Individual","Cat","32 (78%)","2 (4.9%)","7 (17.1%)"
"19","Vulnerable Individual","Child","91 (87.5%)","10 (9.6%)","3 (2.9%)"
"20","Vulnerable Individual","Dog","314 (77%)","67 (16.4%)","27 (6.6%)"
"21","Vulnerable Individual","Multiple","131 (92.3%)","7 (4.9%)","4 (2.8%)"
"22","Vulnerable Individual","Unknown","150 (41.1%)","109 (29.9%)","106 (29%)"
"23","Dog Leash Status","Leashed","49 (75.4%)","12 (18.5%)","4 (6.2%)"
"24","Dog Leash Status","OffLeash","43 (87.8%)","3 (6.1%)","3 (6.1%)"
"25","Dog Leash Status","Unknown","562 (64.4%)","175 (20%)","136 (15.6%)"
"26","Coyote","More","50 (80.6%)","9 (14.5%)","3 (4.8%)"
"27","Coyote","One","396 (60.7%)","141 (21.6%)","115 (17.6%)"
"28","Coyote","Three","62 (77.5%)","9 (11.2%)","9 (11.2%)"
"29","Coyote","Two","138 (76.7%)","26 (14.4%)","16 (8.9%)"
"30","Coyote","Unknown","72 (83.7%)","10 (11.6%)","4 (4.7%)"
"31","Health","Unknown","602 (75.4%)","138 (17.3%)","58 (7.3%)"
"32","Health","Unhealthy","31 (77.5%)","6 (15%)","3 (7.5%)"
"33","Health","Healthy","85 (38.3%)","51 (23%)","86 (38.7%)"
