"","AIC","Building_Density","Modified_Open","Mowed","Road_Distance_Decay","SeasonDispersal","SeasonPupRearing","Year","Modified_Open:SeasonDispersal","Modified_Open:SeasonPupRearing","Mowed:Year","Modified_Open:Year","Road_Distance_Decay:Year","Mowed:SeasonDispersal","Mowed:SeasonPupRearing","SeasonDispersal:Year","SeasonPupRearing:Year","Building_Density:Year","Commercial","delta","k","weight"
"1","8677.58118627508","-0.125 (-0.199,-0.051)","-0.021 (-0.132,0.089)","0.089 (0.023,0.155)","-0.105 (-0.178,-0.032)","0.034 (-0.103,0.172)","0.592 (0.425,0.76)","0.285 (0.223,0.346)","0.123 (-0.021,0.267)","0.355 (0.194,0.519)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,0.0926346970593873
"2","8677.66735297051","-0.126 (-0.2,-0.052)","-0.024 (-0.135,0.086)","0.086 (0.02,0.152)","-0.106 (-0.179,-0.033)","0.03 (-0.107,0.169)","0.59 (0.423,0.758)","0.284 (0.222,0.346)","0.126 (-0.017,0.27)","0.359 (0.197,0.522)","0.043 (-0.017,0.104)",NA,NA,NA,NA,NA,NA,NA,NA,0.100939372812718,13,0.0880754720041849
"3","8677.69959457131","-0.125 (-0.199,-0.052)","-0.022 (-0.133,0.087)","0.088 (0.023,0.154)","-0.106 (-0.179,-0.033)","0.034 (-0.103,0.172)","0.591 (0.424,0.759)","0.285 (0.224,0.347)","0.122 (-0.02,0.266)","0.359 (0.197,0.523)",NA,"-0.041 (-0.1,0.017)",NA,NA,NA,NA,NA,NA,NA,0.133180973616618,13,0.0866670081842785
"4","8678.47155205384","-0.126 (-0.2,-0.052)","-0.024 (-0.135,0.085)","0.086 (0.02,0.152)","-0.107 (-0.18,-0.034)","0.031 (-0.106,0.169)","0.59 (0.422,0.758)","0.285 (0.223,0.346)","0.125 (-0.018,0.269)","0.361 (0.2,0.525)","0.035 (-0.027,0.097)","-0.033 (-0.094,0.026)",NA,NA,NA,NA,NA,NA,NA,0.92105426695889,14,0.0584479512662778
"5","8678.48243260539","-0.125 (-0.199,-0.051)","-0.023 (-0.134,0.087)","0.084 (0.018,0.15)","-0.11 (-0.183,-0.037)","0.03 (-0.107,0.168)","0.587 (0.419,0.755)","0.283 (0.222,0.345)","0.124 (-0.019,0.268)","0.356 (0.195,0.52)","0.051 (-0.011,0.114)",NA,"0.035 (-0.028,0.098)",NA,NA,NA,NA,NA,NA,0.931934818509035,14,0.0581308416568778
"6","8678.71490996173","-0.126 (-0.2,-0.052)","-0.017 (-0.129,0.094)","0.122 (0.016,0.228)","-0.105 (-0.178,-0.032)","0.03 (-0.107,0.168)","0.59 (0.423,0.758)","0.284 (0.223,0.346)","0.124 (-0.022,0.272)","0.33 (0.165,0.497)","0.045 (-0.015,0.106)",NA,NA,"-0.018 (-0.156,0.119)","-0.147 (-0.323,0.028)",NA,NA,NA,NA,1.18147209225936,15,0.051312158074829
"7","8678.81354293819","-0.125 (-0.199,-0.051)","-0.014 (-0.126,0.097)","0.124 (0.018,0.23)","-0.104 (-0.177,-0.031)","0.034 (-0.103,0.172)","0.592 (0.425,0.76)","0.285 (0.224,0.347)","0.121 (-0.026,0.268)","0.327 (0.163,0.494)",NA,NA,NA,"-0.017 (-0.155,0.12)","-0.142 (-0.318,0.033)",NA,NA,NA,NA,1.26304515130687,14,0.0492614187769009
"8","8678.87504960064","-0.125 (-0.199,-0.052)","-0.015 (-0.126,0.096)","0.126 (0.02,0.231)","-0.105 (-0.178,-0.032)","0.034 (-0.103,0.172)","0.591 (0.424,0.759)","0.286 (0.224,0.348)","0.12 (-0.026,0.266)","0.331 (0.166,0.498)",NA,"-0.042 (-0.101,0.017)",NA,"-0.021 (-0.158,0.116)","-0.145 (-0.321,0.03)",NA,NA,NA,NA,1.34161173116809,15,0.047363784858188
"9","8679.01850372233","-0.125 (-0.199,-0.051)","-0.024 (-0.135,0.086)","0.085 (0.019,0.15)","-0.109 (-0.182,-0.036)","0.031 (-0.106,0.169)","0.581 (0.413,0.749)","0.241 (0.142,0.341)","0.126 (-0.018,0.27)","0.359 (0.198,0.523)","0.044 (-0.016,0.105)",NA,NA,NA,NA,"0.037 (-0.098,0.172)","0.142 (-0.029,0.315)",NA,NA,1.48506585285577,15,0.0440854961692798
"10","8679.03779500799","-0.124 (-0.198,-0.051)","-0.022 (-0.133,0.087)","0.087 (0.022,0.153)","-0.109 (-0.182,-0.036)","0.034 (-0.103,0.173)","0.582 (0.414,0.75)","0.244 (0.144,0.343)","0.122 (-0.021,0.265)","0.359 (0.198,0.523)",NA,"-0.043 (-0.102,0.016)",NA,NA,NA,"0.034 (-0.1,0.17)","0.142 (-0.029,0.315)",NA,NA,1.5043571385122,15,0.043662307463939
"11","8679.07673775167","-0.124 (-0.198,-0.051)","-0.019 (-0.131,0.09)","0.088 (0.023,0.154)","-0.107 (-0.18,-0.034)","0.035 (-0.102,0.173)","0.59 (0.423,0.758)","0.284 (0.223,0.346)","0.121 (-0.023,0.265)","0.353 (0.192,0.517)",NA,NA,"0.022 (-0.039,0.083)",NA,NA,NA,NA,NA,NA,1.51032415397276,13,0.0435322347650347
"12","8679.06492414448","-0.124 (-0.198,-0.05)","-0.021 (-0.132,0.089)","0.088 (0.022,0.154)","-0.108 (-0.181,-0.035)","0.035 (-0.102,0.173)","0.583 (0.415,0.751)","0.244 (0.145,0.343)","0.122 (-0.021,0.266)","0.356 (0.194,0.519)",NA,NA,NA,NA,NA,"0.034 (-0.1,0.169)","0.138 (-0.033,0.311)",NA,NA,1.51442635760395,14,0.0434430372271585
"13","8679.09507340791","-0.127 (-0.201,-0.053)","-0.025 (-0.135,0.085)","0.085 (0.019,0.151)","-0.106 (-0.179,-0.033)","0.032 (-0.106,0.17)","0.59 (0.423,0.758)","0.284 (0.223,0.346)","0.126 (-0.017,0.27)","0.36 (0.198,0.523)","0.047 (-0.014,0.109)",NA,NA,NA,NA,NA,NA,"0.024 (-0.038,0.086)",NA,1.54457562103198,14,0.0427930608264374
"14","8679.35086025275","-0.125 (-0.199,-0.052)","-0.021 (-0.132,0.089)","0.089 (0.023,0.154)","-0.105 (-0.178,-0.032)","0.035 (-0.102,0.173)","0.592 (0.425,0.76)","0.285 (0.223,0.347)","0.122 (-0.021,0.266)","0.356 (0.194,0.519)",NA,NA,NA,NA,NA,NA,NA,"0.014 (-0.046,0.076)",NA,1.78444665505231,13,0.0379564876655452
"15","8679.31953443529","-0.125 (-0.199,-0.051)","-0.015 (-0.127,0.096)","0.121 (0.016,0.227)","-0.109 (-0.183,-0.036)","0.03 (-0.107,0.168)","0.586 (0.419,0.754)","0.284 (0.222,0.346)","0.122 (-0.025,0.269)","0.326 (0.161,0.493)","0.054 (-0.008,0.117)",NA,"0.038 (-0.025,0.101)","-0.019 (-0.156,0.118)","-0.152 (-0.328,0.023)",NA,NA,NA,NA,1.80430156407419,16,0.0375815405753254
"16","8679.40680782973","-0.123 (-0.197,-0.048)","-0.021 (-0.132,0.089)","0.088 (0.022,0.154)","-0.105 (-0.178,-0.032)","0.033 (-0.104,0.171)","0.592 (0.425,0.76)","0.284 (0.223,0.346)","0.122 (-0.021,0.266)","0.355 (0.193,0.518)",NA,NA,NA,NA,NA,NA,NA,NA,"-0.012 (-0.073,0.047)",1.84039423203649,13,0.036909414489342
"17","8679.50545516194","-0.123 (-0.197,-0.049)","-0.022 (-0.132,0.087)","0.087 (0.022,0.153)","-0.106 (-0.179,-0.033)","0.033 (-0.105,0.171)","0.591 (0.424,0.759)","0.285 (0.223,0.347)","0.122 (-0.021,0.265)","0.358 (0.197,0.522)",NA,"-0.041 (-0.101,0.017)",NA,NA,NA,NA,NA,NA,"-0.013 (-0.074,0.046)",1.95495737506099,14,0.0348545985865806
"18","8679.51016095309","-0.124 (-0.198,-0.049)","-0.024 (-0.135,0.086)","0.085 (0.019,0.151)","-0.107 (-0.18,-0.034)","0.029 (-0.108,0.168)","0.59 (0.423,0.758)","0.284 (0.222,0.345)","0.126 (-0.018,0.27)","0.358 (0.197,0.522)","0.042 (-0.018,0.103)",NA,NA,NA,NA,NA,NA,NA,"-0.012 (-0.073,0.048)",1.95966316620979,14,0.0347726857597723
"19","8679.50448796487","-0.126 (-0.2,-0.052)","-0.017 (-0.129,0.093)","0.124 (0.018,0.229)","-0.106 (-0.179,-0.033)","0.03 (-0.107,0.169)","0.59 (0.422,0.758)","0.285 (0.223,0.347)","0.123 (-0.023,0.27)","0.332 (0.167,0.499)","0.037 (-0.025,0.099)","-0.034 (-0.095,0.026)",NA,"-0.021 (-0.158,0.116)","-0.148 (-0.324,0.027)",NA,NA,NA,NA,1.98925509365108,16,0.0342619778873803
"20","8679.54022875229","-0.125 (-0.199,-0.051)","-0.021 (-0.132,0.088)","0.088 (0.022,0.154)","-0.107 (-0.18,-0.034)","0.034 (-0.103,0.172)","0.59 (0.423,0.758)","0.285 (0.224,0.347)","0.121 (-0.022,0.265)","0.358 (0.196,0.522)",NA,"-0.038 (-0.099,0.022)","0.012 (-0.05,0.075)",NA,NA,NA,NA,NA,NA,1.98973096541158,14,0.0342538267032806
