"","predictor","AIC","deltaAIC"
"Mod100m","Mod100m",8892.73824645382,-24.5867771911289
"Mow100m","Mow100m",8906.54794948338,-10.777074161575
"Nat100m","Nat100m",8911.19801629288,-6.12700735207363
"Com100m","Com100m",8916.04746106542,-1.27756257953115
"Res100m","Res100m",8877.37133521937,-39.9536884255831
"Build100m","Build100m",8865.2349746675,-52.0900489774522
"RoadDistDecay","RoadDistDecay",8861.66490583847,-55.6601178064793
"Mod200m","Mod200m",8889.89731077894,-27.4277128660087
"Mow200m","Mow200m",8914.24057957049,-3.08444407445677
"Nat200m","Nat200m",8912.5174243253,-4.80759931964712
"Com200m","Com200m",8915.73792557623,-1.58709806872321
"Res200m","Res200m",8890.7720854972,-26.5529381477554
"Build200m","Build200m",8860.68824839039,-56.636775254563
"Mod400m","Mod400m",8889.12380512343,-28.2012185215171
"Mow400m","Mow400m",8919.25881813132,1.93379448636551
"Nat400m","Nat400m",8911.94041880872,-5.38460483622839
"Com400m","Com400m",8915.84717364917,-1.47784999578107
"Res400m","Res400m",8903.40586865929,-13.9191549856569
"Build400m","Build400m",8868.09840450013,-49.2266191448234
"Mod800m","Mod800m",8898.20320042914,-19.1218232158062
"Mow800m","Mow800m",8918.01428587476,0.689262229805536
"Nat800m","Nat800m",8911.35072169286,-5.97430195208835
"Com800m","Com800m",8916.97513027639,-0.349893368558696
"Res800m","Res800m",8910.25145230199,-7.07357134295853
"Build800m","Build800m",8885.1942848116,-32.1307388333535
"Mod1600m","Mod1600m",8899.92329117976,-17.4017324651923
"Mow1600m","Mow1600m",8918.64873378263,1.32371013767442
"Nat1600m","Nat1600m",8917.95523071426,0.630207069309108
"Com1600m","Com1600m",8918.14329030168,0.818266656728156
"Res1600m","Res1600m",8912.87716449671,-4.4478591482366
"Build1600m","Build1600m",8899.26303921952,-18.0619844254288
