"","AIC","Modified_Open","Residential","SeasonDispersal","SeasonPupRearing","Year","Residential:Year","Modified_Open:Year","Natural","Mowed","Commercial","delta","k","weight"
"1","1788.86543070063","0.159 (0.02654,0.29702)","0.16871 (0.04134,0.29519)","0.33072 (0.04087,0.62203)","0.17609 (-0.16012,0.5174)","0.13773 (0.00975,0.26579)","-0.12272 (-0.24852,0.00191)",NA,NA,NA,NA,0,8,0.0982334401160737
"2","1789.12895724514","0.16139 (0.02903,0.29932)","0.16809 (0.04058,0.2947)","0.31829 (0.02749,0.61047)","0.16893 (-0.16753,0.51045)","0.13151 (0.00303,0.25999)","-0.12772 (-0.25387,-0.0028)","-0.09143 (-0.2275,0.04477)",NA,NA,NA,0.297942746762374,9,0.0846373208999291
"3","1789.73945314729","0.15007 (0.01834,0.28736)","0.16898 (0.04206,0.29494)",NA,NA,"0.1303 (0.00205,0.25853)","-0.13212 (-0.25824,-0.00724)","-0.10103 (-0.23654,0.03456)",NA,NA,NA,0.843473955816989,7,0.064431955289941
"4","1789.77409885107","0.16028 (0.02749,0.29865)","0.14114 (0.00315,0.27786)","0.33347 (0.04351,0.62492)","0.17739 (-0.15898,0.51885)","0.13229 (0.00388,0.26077)","-0.126 (-0.25204,-0.00112)",NA,"-0.07239 (-0.20734,0.06383)",NA,NA,0.94308435269545,9,0.0613015122171151
"5","1789.87713104368","0.14738 (0.01546,0.28484)","0.16961 (0.04289,0.2954)",NA,NA,"0.13701 (0.00928,0.26482)","-0.12665 (-0.25245,-0.00203)",NA,NA,NA,NA,0.954460053650337,6,0.0609538281065457
"6","1789.87955075809","0.12737 (-0.01915,0.27857)","0.16079 (0.03205,0.28843)","0.32889 (0.03895,0.62029)","0.17941 (-0.15704,0.52097)","0.13548 (0.00734,0.26368)","-0.11959 (-0.24586,0.00558)",NA,NA,"-0.07054 (-0.20926,0.06902)",NA,1.04853625971577,9,0.0581530633810532
"7","1790.1703898968","0.16224 (0.02961,0.30048)","0.14231 (0.00425,0.27909)","0.32132 (0.0304,0.61364)","0.17039 (-0.16623,0.51206)","0.12665 (-0.00223,0.25551)","-0.1306 (-0.25697,-0.00545)","-0.08813 (-0.22453,0.04852)","-0.06799 (-0.20321,0.06857)",NA,NA,1.37767037322851,10,0.0493289683353365
"8","1790.28069149168","0.14951 (0.01475,0.2896)","0.14696 (0.00774,0.28519)","0.32727 (0.03724,0.61875)","0.17339 (-0.16295,0.5148)","0.13998 (0.01187,0.26818)","-0.12568 (-0.25168,-0.00083)",NA,NA,NA,"-0.05299 (-0.18747,0.08365)",1.4496769933121,9,0.047584552985099
"9","1790.27630610994","0.1319 (-0.01464,0.2831)","0.1607 (0.03183,0.28847)","0.31685 (0.02595,0.60911)","0.17226 (-0.16444,0.51404)","0.12978 (0.0012,0.25836)","-0.12435 (-0.25099,0.00114)","-0.08793 (-0.22415,0.0484)",NA,"-0.06583 (-0.205,0.07428)",NA,1.48358658637335,10,0.0467845675304428
"10","1790.36262629791","0.14526 (0.00992,0.28587)","0.09443 (-0.06338,0.25138)","0.3287 (0.03853,0.62033)","0.17351 (-0.16307,0.51514)","0.13375 (0.00529,0.26228)","-0.13193 (-0.25826,-0.00673)",NA,"-0.10207 (-0.24568,0.04261)",NA,"-0.08755 (-0.23059,0.05739)",1.56990677434123,10,0.0448082960038996
"11","1790.46320787488","0.15126 (0.01662,0.29127)","0.14493 (0.00564,0.28324)","0.31444 (0.02342,0.6068)","0.16597 (-0.17062,0.50758)","0.13374 (0.00514,0.26235)","-0.13088 (-0.2572,-0.00576)","-0.09357 (-0.22968,0.04267)",NA,NA,"-0.05664 (-0.19134,0.0802)",1.67048835131573,10,0.0426105771536698
"12","1790.5895048089","0.16022 (0.0282,0.29785)","0.18438 (0.05908,0.30918)","0.33779 (0.0484,0.6287)","0.18683 (-0.14891,0.52771)","0.1478 (0.02072,0.2751)",NA,NA,NA,NA,NA,1.69352561742562,7,0.0421225774912913
"13","1790.63234288697",NA,"0.0551 (-0.10278,0.21162)","0.31057 (0.02131,0.60122)","0.17473 (-0.16198,0.51652)","0.1322 (0.00365,0.2608)","-0.12897 (-0.25585,-0.00321)",NA,"-0.11999 (-0.26439,0.02536)","-0.13123 (-0.25704,-0.00524)","-0.12305 (-0.26345,0.01912)",1.83962336340278,10,0.0391552693169368
"14","1790.67036106543","0.1267 (-0.02021,0.2783)","0.13099 (-0.00902,0.26937)","0.33164 (0.04158,0.62317)","0.18098 (-0.15564,0.52272)","0.12972 (0.00114,0.25833)","-0.12273 (-0.24927,0.00269)",NA,"-0.07658 (-0.21223,0.06028)","-0.07487 (-0.21404,0.0651)",NA,1.87764154186243,10,0.0384179929852827
"15","1790.77207267794",NA,"0.1497 (0.02146,0.27678)","0.3097 (0.02082,0.59997)","0.17576 (-0.16035,0.51699)","0.13668 (0.00863,0.2648)","-0.11856 (-0.24503,0.00678)",NA,NA,"-0.12245 (-0.24749,0.00287)",NA,1.90664197731076,8,0.037864943084609
"16","1790.83851791131","0.11504 (-0.03087,0.26563)","0.16148 (0.03339,0.28845)",NA,NA,"0.13472 (0.00683,0.26267)","-0.12352 (-0.24978,0.0016)",NA,NA,"-0.07205 (-0.21015,0.06681)",NA,1.94253871983938,7,0.0371913916851326
