"","predictor","AIC","deltaAIC"
"Mod100m","Mod100m",1806.48849795742,1.98453079852379
"Mow100m","Mow100m",1805.62052570448,1.11655854558217
"Nat100m","Nat100m",1803.47157898523,-1.03238817366764
"Com100m","Com100m",1802.33970594933,-2.16426120957021
"Res100m","Res100m",1803.74535470578,-0.758612453121714
"Build100m","Build100m",1805.21293261395,0.708965455051384
"RoadDistDecay","RoadDistDecay",1805.59949680695,1.09552964804629
"Mod200m","Mod200m",1806.46805494391,1.96408778501041
"Mow200m","Mow200m",1806.47332895225,1.96936179335489
"Nat200m","Nat200m",1803.68163757757,-0.822329581333634
"Com200m","Com200m",1804.31604041156,-0.187926747342999
"Res200m","Res200m",1801.39894709562,-3.1050200632842
"Build200m","Build200m",1804.51418062746,0.0102134685630517
"Mod400m","Mod400m",1806.47542350109,1.97145634219305
"Mow400m","Mow400m",1805.08528878028,0.58132162138395
"Nat400m","Nat400m",1804.86342476957,0.359457610672052
"Com400m","Com400m",1804.86863391027,0.364666751374671
"Res400m","Res400m",1798.67743086256,-5.82653629633865
"Build400m","Build400m",1804.79249796245,0.288530803552931
"Mod800m","Mod800m",1806.48703754461,1.98307038570783
"Mow800m","Mow800m",1801.08952176073,-3.41444539817439
"Nat800m","Nat800m",1804.56730982575,0.0633426668459833
"Com800m","Com800m",1805.52523100638,1.02126384748499
"Res800m","Res800m",1798.26176265824,-6.24220450065627
"Build800m","Build800m",1806.32587722918,1.82191007028177
"Mod1600m","Mod1600m",1802.0567218037,-2.44724535519777
"Mow1600m","Mow1600m",1805.32479732012,0.820830161216463
"Nat1600m","Nat1600m",1802.22854574584,-2.27542141306049
"Com1600m","Com1600m",1804.37456865157,-0.12939850732846
"Res1600m","Res1600m",1801.63397008818,-2.86999707072141
"Build1600m","Build1600m",1805.5532044479,1.04923728899848
